cours,hight,indice,low,open_,time,var
9.090 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,1666789282.0600314,-0.04%
131.920 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,1666789282.061698,-0.44%
105.380 ,105.880 ,AIRBUS,104.300 ,104.360 ,1666789282.0630493,+1.27%
19.965 ,20.030 ,ALSTOM,19.230 ,19.240 ,1666789282.0640264,+3.71%
47.950 ,48.565 ,DANONE,47.685 ,48.455 ,1666789282.0649846,-1.31%
47.365 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,1666789282.065899,+0.06%
15.300 ,15.595 ,CARREFOUR,15.175 ,15.535 ,1666789282.0668259,-1.54%
173.200 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,1666789282.0677557,+0.12%
24.880 ,25.035 ,AXA,24.755 ,24.910 ,1666789282.068551,-0.36%
91.830 ,92.270 ,VINCI,91.080 ,91.620 ,1666789282.0693486,+1.82%
34.720 ,35.795 ,DASSAULT SYSTEMES,34.660 ,35.340 ,1666789282.070144,-5.33%
164.550 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,1666789282.0709379,-0.27%
28.390 ,28.400 ,BOUYGUES,28.020 ,28.190 ,1666789282.0717738,+0.92%
13.020 ,13.130 ,ENGIE,12.974 ,13.030 ,1666789282.072604,-0.17%
64.940 ,65.220 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,1666789282.0733263,-0.06%
23.285 ,23.470 ,SOCIETE GENERALE,23.195 ,23.375 ,1666789282.0740342,+0.06%
125.700 ,125.750 ,THALES,122.150 ,122.250 ,1666789282.0747542,+3.37%
472.000 ,476.250 ,KERING,470.250 ,472.750 ,1666789282.0754855,-0.08%
78.240 ,78.300 ,LEGRAND,76.100 ,76.260 ,1666789282.0761907,+2.35%
652.100 ,663.600 ,LVMH,651.100 ,659.400 ,1666789282.076887,-0.90%
24.675 ,24.810 ,MICHELIN,23.700 ,23.700 ,1666789282.077583,-3.35%
318.350 ,322.900 ,L'OREAL,318.100 ,321.400 ,1666789282.0782685,-1.03%
9.444 ,9.514 ,ORANGE,9.378 ,9.420 ,1666789282.0791905,+0.41%
57.320 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,1666789282.0799131,-2.12%
173.700 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,1666789282.080555,-2.17%
1 350.500 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,1666789282.3612165,-0.30%
31.940 ,32.200 ,RENAULT,31.500 ,31.700 ,1666789282.3627212,+0.31%
112.040 ,112.740 ,SAFRAN,110.100 ,110.200 ,1666789282.364049,+1.54%
82.920 ,83.260 ,SANOFI,82.330 ,82.700 ,1666789282.3652098,+0.77%
41.665 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,1666789282.3663201,+0.42%
13.562 ,13.608 ,STELLANTIS,13.400 ,13.496 ,1666789282.367402,+0.22%
33.980 ,34.670 ,STMICROELECTRONICS,33.930 ,34.195 ,1666789282.368321,-3.41%
132.400 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,1666789282.3692358,+0.84%
272.300 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,1666789282.3701458,-0.91%
52.580 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,1666789282.3710582,-1.26%
22.520 ,23.070 ,VEOLIA,22.490 ,22.730 ,1666789282.3719814,-0.92%
8.204 ,8.296 ,VIVENDI,8.164 ,8.296 ,1666789282.3728423,-1.39%
44.020 ,44.740 ,WORLDLINE,43.300 ,43.670 ,1666789282.3736415,+0.57%
